country,year,proven_reserves,energy_source,proven_reserves_unit
Canada,1960.0,660.0,Gas,Bcm
Chile,1960.0,7396.0,Gas,Bcm
Mexico,1960.0,20.0,Gas,Bcm
United States of America,1960.0,228.0,Gas,Bcm
Denmark,1960.0,0.0,Gas,Bcm
Germany,1960.0,20.0,Gas,Bcm
Italy,1960.0,90.0,Gas,Bcm
Netherlands,1960.0,10.0,Gas,Bcm
Norway,1960.0,0.0,Gas,Bcm
Poland,1960.0,10.0,Gas,Bcm
United Kingdom,1960.0,0.0,Gas,Bcm
Australia,1960.0,0.0,Gas,Bcm
Japan,1960.0,10.0,Gas,Bcm
New Zealand,1960.0,5.0,Gas,Bcm
China,1960.0,40.0,Gas,Bcm
India,1960.0,15.0,Gas,Bcm
Bangladesh,1960.0,0.0,Gas,Bcm
Brunei Darussalam,1960.0,10.0,Gas,Bcm
Indonesia,1960.0,56.8,Gas,Bcm
Malaysia,1960.0,0.0,Gas,Bcm
Burma,1960.0,2.0,Gas,Bcm
Pakistan,1960.0,350.0,Gas,Bcm
Thailand,1960.0,0.0,Gas,Bcm
Viet Nam,1960.0,0.0,Gas,Bcm
Argentina,1960.0,100.0,Gas,Bcm
Bolivia,1960.0,7.0,Gas,Bcm
Brazil,1960.0,3.1,Gas,Bcm
Colombia,1960.0,10.0,Gas,Bcm
Ecuador,1960.0,2.1,Gas,Bcm
Peru,1960.0,20.0,Gas,Bcm
Trinidad and Tobago,1960.0,20.0,Gas,Bcm
Venezuela,1960.0,953.0,Gas,Bcm
Iran,1960.0,1840.0,Gas,Bcm
Iraq,1960.0,600.0,Gas,Bcm
Kuwait,1960.0,950.0,Gas,Bcm
Oman,1960.0,0.0,Gas,Bcm
Qatar,1960.0,180.0,Gas,Bcm
Saudi Arabia,1960.0,1302.6,Gas,Bcm
United Arab Emirates,1960.0,80.0,Gas,Bcm
Algeria,1960.0,1300.0,Gas,Bcm
Angola,1960.0,0.0,Gas,Bcm
Cameroon,1960.0,0.0,Gas,Bcm
Congo,1960.0,0.1,Gas,Bcm
Egypt,1960.0,5.0,Gas,Bcm
Equatorial Guinea,1960.0,0.0,Gas,Bcm
Gabon,1960.0,0.5,Gas,Bcm
Libya,1960.0,104.7,Gas,Bcm
Mozambique,1960.0,0.0,Gas,Bcm
Nigeria,1960.0,7.1,Gas,Bcm
Russian Federation & USSR,1960.0,1752.70347533632,Gas,Bcm
Bulgaria,1960.0,0.0,Gas,Bcm
Romania,1960.0,493.0,Gas,Bcm
Canada,1961.0,721.6157034308083,Gas,Bcm
Chile,1961.0,7507.28399768453,Gas,Bcm
Mexico,1961.0,38.37,Gas,Bcm
United States of America,1961.0,283.17,Gas,Bcm
Denmark,1961.0,0.0,Gas,Bcm
Germany,1961.0,25.0,Gas,Bcm
Italy,1961.0,115.0,Gas,Bcm
Netherlands,1961.0,164.0,Gas,Bcm
Norway,1961.0,0.0,Gas,Bcm
Poland,1961.0,14.16,Gas,Bcm
United Kingdom,1961.0,0.14,Gas,Bcm
