country,year,proven_reserves,energy_source,proven_reserves_unit
Australia,1961.0,0.0,Gas,Bcm
Japan,1961.0,10.0,Gas,Bcm
New Zealand,1961.0,5.0,Gas,Bcm
China,1961.0,40.0,Gas,Bcm
India,1961.0,21.1,Gas,Bcm
Bangladesh,1961.0,0.0,Gas,Bcm
Brunei Darussalam,1961.0,10.0,Gas,Bcm
Indonesia,1961.0,56.7,Gas,Bcm
Malaysia,1961.0,0.0,Gas,Bcm
Burma,1961.0,4.25,Gas,Bcm
Pakistan,1961.0,349.96,Gas,Bcm
Thailand,1961.0,0.0,Gas,Bcm
Viet Nam,1961.0,0.0,Gas,Bcm
Argentina,1961.0,141.58333333333331,Gas,Bcm
Bolivia,1961.0,7.08,Gas,Bcm
Brazil,1961.0,9.91,Gas,Bcm
Colombia,1961.0,20.14,Gas,Bcm
Ecuador,1961.0,2.12,Gas,Bcm
Peru,1961.0,20.53,Gas,Bcm
Trinidad and Tobago,1961.0,19.200000000000003,Gas,Bcm
Venezuela,1961.0,934.46,Gas,Bcm
Iran,1961.0,1840.61,Gas,Bcm
Iraq,1961.0,637.13,Gas,Bcm
Kuwait,1961.0,950.0,Gas,Bcm
Oman,1961.0,0.0,Gas,Bcm
Qatar,1961.0,210.0,Gas,Bcm
Saudi Arabia,1961.0,1302.58,Gas,Bcm
United Arab Emirates,1961.0,84.95,Gas,Bcm
Algeria,1961.0,1415.85,Gas,Bcm
Angola,1961.0,0.0,Gas,Bcm
Cameroon,1961.0,0.0,Gas,Bcm
Congo,1961.0,0.14,Gas,Bcm
Egypt,1961.0,5.039999999999999,Gas,Bcm
Equatorial Guinea,1961.0,0.0,Gas,Bcm
Gabon,1961.0,0.85,Gas,Bcm
Libya,1961.0,104.72,Gas,Bcm
Mozambique,1961.0,0.0,Gas,Bcm
Nigeria,1961.0,7.08,Gas,Bcm
Russian Federation & USSR,1961.0,1933.304078475337,Gas,Bcm
Bulgaria,1961.0,0.0,Gas,Bcm
Romania,1961.0,498.91999999999996,Gas,Bcm
Canada,1962.0,762.4800828920102,Gas,Bcm
Chile,1962.0,7676.594580186583,Gas,Bcm
Mexico,1962.0,51.81999999999999,Gas,Bcm
United States of America,1962.0,281.0,Gas,Bcm
Denmark,1962.0,0.0,Gas,Bcm
Germany,1962.0,26.0,Gas,Bcm
Italy,1962.0,123.0,Gas,Bcm
Netherlands,1962.0,500.0,Gas,Bcm
Norway,1962.0,0.0,Gas,Bcm
Poland,1962.0,13.4,Gas,Bcm
United Kingdom,1962.0,0.14,Gas,Bcm
Australia,1962.0,0.2,Gas,Bcm
Japan,1962.0,10.0,Gas,Bcm
New Zealand,1962.0,5.0,Gas,Bcm
China,1962.0,40.0,Gas,Bcm
India,1962.0,21.1,Gas,Bcm
Bangladesh,1962.0,0.0,Gas,Bcm
Brunei Darussalam,1962.0,10.0,Gas,Bcm
Indonesia,1962.0,56.7,Gas,Bcm
Malaysia,1962.0,0.0,Gas,Bcm
Burma,1962.0,4.25,Gas,Bcm
Pakistan,1962.0,349.96,Gas,Bcm
Thailand,1962.0,0.0,Gas,Bcm
Viet Nam,1962.0,0.0,Gas,Bcm
Argentina,1962.0,141.66666666666663,Gas,Bcm
Bolivia,1962.0,23.36,Gas,Bcm
Brazil,1962.0,14.72,Gas,Bcm
Colombia,1962.0,36.10000000000001,Gas,Bcm
Ecuador,1962.0,2.12,Gas,Bcm
Peru,1962.0,20.5,Gas,Bcm
Trinidad and Tobago,1962.0,18.300000000000004,Gas,Bcm
Venezuela,1962.0,896.0,Gas,Bcm
Iran,1962.0,1840.61,Gas,Bcm
Iraq,1962.0,637.13,Gas,Bcm
Kuwait,1962.0,950.0,Gas,Bcm
Oman,1962.0,0.0,Gas,Bcm
Qatar,1962.0,210.0,Gas,Bcm
Saudi Arabia,1962.0,1310.0,Gas,Bcm
United Arab Emirates,1962.0,84.95,Gas,Bcm
Algeria,1962.0,1500.0,Gas,Bcm
Angola,1962.0,0.0,Gas,Bcm
Cameroon,1962.0,0.0,Gas,Bcm
Congo,1962.0,0.1,Gas,Bcm
Egypt,1962.0,5.039999999999999,Gas,Bcm
Equatorial Guinea,1962.0,0.0,Gas,Bcm
Gabon,1962.0,2.5,Gas,Bcm
Libya,1962.0,120.0,Gas,Bcm
Mozambique,1962.0,0.0,Gas,Bcm
Nigeria,1962.0,13.0,Gas,Bcm
Russian Federation & USSR,1962.0,2061.6545964125567,Gas,Bcm
Bulgaria,1962.0,0.0,Gas,Bcm
Romania,1962.0,563.0,Gas,Bcm
Canada,1963.0,762.4800828920102,Gas,Bcm
Chile,1963.0,7785.767796131013,Gas,Bcm
Mexico,1963.0,49.69999999999999,Gas,Bcm
United States of America,1963.0,320.0,Gas,Bcm
Denmark,1963.0,0.0,Gas,Bcm
Germany,1963.0,59.0,Gas,Bcm
Italy,1963.0,133.0,Gas,Bcm
Netherlands,1963.0,1100.0,Gas,Bcm
Norway,1963.0,0.0,Gas,Bcm
Poland,1963.0,12.5,Gas,Bcm
United Kingdom,1963.0,0.14,Gas,Bcm
Australia,1963.0,0.6,Gas,Bcm
Japan,1963.0,12.0,Gas,Bcm
New Zealand,1963.0,5.0,Gas,Bcm
China,1963.0,60.0,Gas,Bcm
India,1963.0,42.48,Gas,Bcm
Bangladesh,1963.0,0.0,Gas,Bcm
Brunei Darussalam,1963.0,10.0,Gas,Bcm
Indonesia,1963.0,56.7,Gas,Bcm
Malaysia,1963.0,0.0,Gas,Bcm
Burma,1963.0,4.25,Gas,Bcm
Pakistan,1963.0,349.96,Gas,Bcm
Thailand,1963.0,0.0,Gas,Bcm
Viet Nam,1963.0,0.0,Gas,Bcm
Argentina,1963.0,145.8333333333333,Gas,Bcm
Bolivia,1963.0,24.78,Gas,Bcm
Brazil,1963.0,14.9,Gas,Bcm
Colombia,1963.0,65.1,Gas,Bcm
Ecuador,1963.0,2.12,Gas,Bcm
Peru,1963.0,20.5,Gas,Bcm
Trinidad and Tobago,1963.0,17.5,Gas,Bcm
Venezuela,1963.0,859.0,Gas,Bcm
Iran,1963.0,2265.36,Gas,Bcm
Iraq,1963.0,637.0,Gas,Bcm
Kuwait,1963.0,1020.0,Gas,Bcm
Oman,1963.0,0.0,Gas,Bcm
Qatar,1963.0,210.0,Gas,Bcm
Saudi Arabia,1963.0,1450.0,Gas,Bcm
United Arab Emirates,1963.0,141.59,Gas,Bcm
Algeria,1963.0,1600.0,Gas,Bcm
Angola,1963.0,0.0,Gas,Bcm
Cameroon,1963.0,0.0,Gas,Bcm
Congo,1963.0,0.1,Gas,Bcm
Egypt,1963.0,5.039999999999999,Gas,Bcm
Equatorial Guinea,1963.0,0.0,Gas,Bcm
Gabon,1963.0,3.0,Gas,Bcm
Libya,1963.0,127.0,Gas,Bcm
Mozambique,1963.0,0.0,Gas,Bcm
Nigeria,1963.0,24.0,Gas,Bcm
Russian Federation & USSR,1963.0,2303.553139013453,Gas,Bcm
Bulgaria,1963.0,0.0,Gas,Bcm
Romania,1963.0,598.0,Gas,Bcm
Canada,1964.0,846.0172691687774,Gas,Bcm
Chile,1964.0,7929.569780434285,Gas,Bcm
Mexico,1964.0,43.19999999999999,Gas,Bcm
United States of America,1964.0,325.93,Gas,Bcm
Denmark,1964.0,0.0,Gas,Bcm
Germany,1964.0,92.0,Gas,Bcm
Italy,1964.0,145.83,Gas,Bcm
Netherlands,1964.0,1217.63,Gas,Bcm
Norway,1964.0,0.0,Gas,Bcm
Poland,1964.0,14.16,Gas,Bcm
United Kingdom,1964.0,0.2,Gas,Bcm
Australia,1964.0,11.9,Gas,Bcm
Japan,1964.0,12.0,Gas,Bcm
New Zealand,1964.0,5.0,Gas,Bcm
China,1964.0,60.0,Gas,Bcm
India,1964.0,42.48,Gas,Bcm
Bangladesh,1964.0,0.0,Gas,Bcm
Brunei Darussalam,1964.0,17.0,Gas,Bcm
Indonesia,1964.0,56.63,Gas,Bcm
Malaysia,1964.0,0.0,Gas,Bcm
Burma,1964.0,5.0,Gas,Bcm
Pakistan,1964.0,456.14000000000004,Gas,Bcm
Thailand,1964.0,0.0,Gas,Bcm
Viet Nam,1964.0,0.0,Gas,Bcm
Argentina,1964.0,153.3833333333333,Gas,Bcm
Bolivia,1964.0,56.63,Gas,Bcm
Brazil,1964.0,14.3,Gas,Bcm
Colombia,1964.0,62.29999999999998,Gas,Bcm
Ecuador,1964.0,2.12,Gas,Bcm
Peru,1964.0,20.0,Gas,Bcm
Trinidad and Tobago,1964.0,16.400000000000006,Gas,Bcm
Venezuela,1964.0,870.61,Gas,Bcm
Iran,1964.0,2265.36,Gas,Bcm
Iraq,1964.0,637.0,Gas,Bcm
Kuwait,1964.0,1047.73,Gas,Bcm
Oman,1964.0,14.16,Gas,Bcm
Qatar,1964.0,210.0,Gas,Bcm
Saudi Arabia,1964.0,1529.12,Gas,Bcm
United Arab Emirates,1964.0,141.59,Gas,Bcm
Algeria,1964.0,1699.02,Gas,Bcm
Angola,1964.0,0.0,Gas,Bcm
Cameroon,1964.0,0.0,Gas,Bcm
Congo,1964.0,0.06,Gas,Bcm
Egypt,1964.0,7.16,Gas,Bcm
Equatorial Guinea,1964.0,0.0,Gas,Bcm
Gabon,1964.0,3.0,Gas,Bcm
Libya,1964.0,141.59,Gas,Bcm
Mozambique,1964.0,0.0,Gas,Bcm
Nigeria,1964.0,48.14,Gas,Bcm
Russian Federation & USSR,1964.0,2495.0858587443945,Gas,Bcm
Bulgaria,1964.0,0.0,Gas,Bcm
Romania,1964.0,583.02,Gas,Bcm
Canada,1965.0,868.2882799907898,Gas,Bcm
Chile,1965.0,8076.667372077057,Gas,Bcm
Mexico,1965.0,66.69,Gas,Bcm
United States of America,1965.0,318.57,Gas,Bcm
Denmark,1965.0,0.0,Gas,Bcm
Germany,1965.0,106.0,Gas,Bcm
Italy,1965.0,143.0,Gas,Bcm
Netherlands,1965.0,1274.27,Gas,Bcm
Norway,1965.0,0.0,Gas,Bcm
Poland,1965.0,14.16,Gas,Bcm
United Kingdom,1965.0,0.28,Gas,Bcm
Australia,1965.0,26.0,Gas,Bcm
Japan,1965.0,12.0,Gas,Bcm
New Zealand,1965.0,9.0,Gas,Bcm
China,1965.0,60.0,Gas,Bcm
India,1965.0,42.48,Gas,Bcm
Bangladesh,1965.0,0.0,Gas,Bcm
Brunei Darussalam,1965.0,19.82,Gas,Bcm
Indonesia,1965.0,56.63,Gas,Bcm
Malaysia,1965.0,0.0,Gas,Bcm
Burma,1965.0,5.0,Gas,Bcm
Pakistan,1965.0,491.54,Gas,Bcm
Thailand,1965.0,0.0,Gas,Bcm
Viet Nam,1965.0,0.0,Gas,Bcm
Argentina,1965.0,188.78333333333327,Gas,Bcm
Bolivia,1965.0,56.63,Gas,Bcm
Brazil,1965.0,19.0,Gas,Bcm
Colombia,1965.0,59.2,Gas,Bcm
Ecuador,1965.0,2.12,Gas,Bcm
Peru,1965.0,19.6,Gas,Bcm
Trinidad and Tobago,1965.0,15.200000000000003,Gas,Bcm
Venezuela,1965.0,850.05,Gas,Bcm
Iran,1965.0,2406.95,Gas,Bcm
Iraq,1965.0,637.0,Gas,Bcm
Kuwait,1965.0,1047.73,Gas,Bcm
Oman,1965.0,42.48,Gas,Bcm
Qatar,1965.0,210.0,Gas,Bcm
Saudi Arabia,1965.0,1654.79,Gas,Bcm
United Arab Emirates,1965.0,169.9,Gas,Bcm
Algeria,1965.0,1840.61,Gas,Bcm
Angola,1965.0,0.0,Gas,Bcm
Cameroon,1965.0,0.0,Gas,Bcm
Congo,1965.0,0.06,Gas,Bcm
Egypt,1965.0,7.16,Gas,Bcm
Equatorial Guinea,1965.0,0.0,Gas,Bcm
Gabon,1965.0,3.0,Gas,Bcm
Libya,1965.0,212.38,Gas,Bcm
Mozambique,1965.0,0.0,Gas,Bcm
Nigeria,1965.0,84.95,Gas,Bcm
Russian Federation & USSR,1965.0,2507.2571748878927,Gas,Bcm
Bulgaria,1965.0,0.0,Gas,Bcm
Romania,1965.0,570.17,Gas,Bcm
Canada,1966.0,934.8961547317523,Gas,Bcm
Chile,1966.0,8157.414730153603,Gas,Bcm
Mexico,1966.0,72.34999999999998,Gas,Bcm
United States of America,1966.0,331.96,Gas,Bcm
Denmark,1966.0,0.0,Gas,Bcm
Germany,1966.0,127.0,Gas,Bcm
Italy,1966.0,151.5,Gas,Bcm
Netherlands,1966.0,1783.97,Gas,Bcm
Norway,1966.0,0.0,Gas,Bcm
Poland,1966.0,14.16,Gas,Bcm
United Kingdom,1966.0,283.17,Gas,Bcm
Australia,1966.0,27.1,Gas,Bcm
Japan,1966.0,14.0,Gas,Bcm
New Zealand,1966.0,13.0,Gas,Bcm
China,1966.0,80.0,Gas,Bcm
India,1966.0,42.48,Gas,Bcm
Bangladesh,1966.0,0.0,Gas,Bcm
Brunei Darussalam,1966.0,19.82,Gas,Bcm
Indonesia,1966.0,70.8,Gas,Bcm
Malaysia,1966.0,0.0,Gas,Bcm
Burma,1966.0,5.0,Gas,Bcm
Pakistan,1966.0,500.10999999999996,Gas,Bcm
Thailand,1966.0,0.0,Gas,Bcm
Viet Nam,1966.0,0.0,Gas,Bcm
Argentina,1966.0,188.79999999999993,Gas,Bcm
Bolivia,1966.0,56.63,Gas,Bcm
Brazil,1966.0,26.9,Gas,Bcm
Colombia,1966.0,55.90000000000002,Gas,Bcm
Ecuador,1966.0,2.12,Gas,Bcm
Peru,1966.0,19.2,Gas,Bcm
Trinidad and Tobago,1966.0,13.800000000000004,Gas,Bcm
Venezuela,1966.0,826.21,Gas,Bcm
Iran,1966.0,2831.7,Gas,Bcm
Iraq,1966.0,632.0,Gas,Bcm
Kuwait,1966.0,1054.81,Gas,Bcm
Oman,1966.0,42.48,Gas,Bcm
Qatar,1966.0,210.0,Gas,Bcm
Saudi Arabia,1966.0,1654.0,Gas,Bcm
United Arab Emirates,1966.0,212.4,Gas,Bcm
Algeria,1966.0,3964.88,Gas,Bcm
Angola,1966.0,2.83,Gas,Bcm
Cameroon,1966.0,0.0,Gas,Bcm
Congo,1966.0,0.06,Gas,Bcm
Egypt,1966.0,14.239999999999998,Gas,Bcm
Equatorial Guinea,1966.0,0.0,Gas,Bcm
Gabon,1966.0,5.66,Gas,Bcm
Libya,1966.0,226.54,Gas,Bcm
Mozambique,1966.0,0.0,Gas,Bcm
Nigeria,1966.0,113.28,Gas,Bcm
Russian Federation & USSR,1966.0,3271.1473094170406,Gas,Bcm
Bulgaria,1966.0,0.0,Gas,Bcm
Romania,1966.0,575.38,Gas,Bcm
Canada,1967.0,982.9182592677871,Gas,Bcm
Chile,1967.0,8258.204558243475,Gas,Bcm
Mexico,1967.0,72.34999999999998,Gas,Bcm
United States of America,1967.0,328.41,Gas,Bcm
Denmark,1967.0,0.0,Gas,Bcm
Germany,1967.0,126.0,Gas,Bcm
Italy,1967.0,155.76,Gas,Bcm
Netherlands,1967.0,1907.690000000001,Gas,Bcm
Norway,1967.0,0.0,Gas,Bcm
Poland,1967.0,45.99,Gas,Bcm
United Kingdom,1967.0,708.01,Gas,Bcm
Australia,1967.0,45.2,Gas,Bcm
Japan,1967.0,15.0,Gas,Bcm
New Zealand,1967.0,14.0,Gas,Bcm
China,1967.0,80.0,Gas,Bcm
India,1967.0,42.48,Gas,Bcm
Bangladesh,1967.0,0.0,Gas,Bcm
Brunei Darussalam,1967.0,19.82,Gas,Bcm
Indonesia,1967.0,70.8,Gas,Bcm
Malaysia,1967.0,0.0,Gas,Bcm
Burma,1967.0,5.0,Gas,Bcm
Pakistan,1967.0,500.10999999999996,Gas,Bcm
Thailand,1967.0,0.0,Gas,Bcm
Viet Nam,1967.0,0.0,Gas,Bcm
Argentina,1967.0,187.85833333333326,Gas,Bcm
Bolivia,1967.0,64.7,Gas,Bcm
Brazil,1967.0,25.9,Gas,Bcm
Colombia,1967.0,52.70000000000002,Gas,Bcm
Ecuador,1967.0,2.83,Gas,Bcm
Peru,1967.0,18.8,Gas,Bcm
Trinidad and Tobago,1967.0,12.300000000000004,Gas,Bcm
Venezuela,1967.0,788.15,Gas,Bcm
Iran,1967.0,2831.7,Gas,Bcm
Iraq,1967.0,627.0,Gas,Bcm
Kuwait,1967.0,1076.05,Gas,Bcm
Oman,1967.0,42.48,Gas,Bcm
Qatar,1967.0,207.0,Gas,Bcm
Saudi Arabia,1967.0,1641.0,Gas,Bcm
United Arab Emirates,1967.0,226.56,Gas,Bcm
Algeria,1967.0,3964.88,Gas,Bcm
Angola,1967.0,4.25,Gas,Bcm
Cameroon,1967.0,0.0,Gas,Bcm
Congo,1967.0,0.06,Gas,Bcm
Egypt,1967.0,29.82,Gas,Bcm
Equatorial Guinea,1967.0,0.0,Gas,Bcm
Gabon,1967.0,9.0,Gas,Bcm
Libya,1967.0,311.0,Gas,Bcm
Mozambique,1967.0,0.0,Gas,Bcm
Nigeria,1967.0,113.28,Gas,Bcm
Russian Federation & USSR,1967.0,3736.271524663677,Gas,Bcm
Bulgaria,1967.0,0.0,Gas,Bcm
Romania,1967.0,563.0,Gas,Bcm
Canada,1968.0,1125.61386138614,Gas,Bcm
Chile,1968.0,8101.508883593824,Gas,Bcm
Mexico,1968.0,65.19999999999997,Gas,Bcm
United States of America,1968.0,325.69,Gas,Bcm
Denmark,1968.0,0.0,Gas,Bcm
Germany,1968.0,155.0,Gas,Bcm
Italy,1968.0,184.08,Gas,Bcm
Netherlands,1968.0,1912.6700000000005,Gas,Bcm
Norway,1968.0,0.0,Gas,Bcm
Poland,1968.0,46.0,Gas,Bcm
United Kingdom,1968.0,705.8,Gas,Bcm
Australia,1968.0,57.3,Gas,Bcm
Japan,1968.0,17.0,Gas,Bcm
New Zealand,1968.0,14.0,Gas,Bcm
China,1968.0,80.0,Gas,Bcm
India,1968.0,42.48,Gas,Bcm
Bangladesh,1968.0,0.0,Gas,Bcm
Brunei Darussalam,1968.0,18.41,Gas,Bcm
Indonesia,1968.0,70.8,Gas,Bcm
Malaysia,1968.0,0.0,Gas,Bcm
Burma,1968.0,5.0,Gas,Bcm
Pakistan,1968.0,498.2,Gas,Bcm
Thailand,1968.0,0.0,Gas,Bcm
Viet Nam,1968.0,0.0,Gas,Bcm
Argentina,1968.0,200.60833333333323,Gas,Bcm
Bolivia,1968.0,74.4,Gas,Bcm
Brazil,1968.0,28.32,Gas,Bcm
Colombia,1968.0,79.62000000000002,Gas,Bcm
Ecuador,1968.0,4.25,Gas,Bcm
Peru,1968.0,18.4,Gas,Bcm
Trinidad and Tobago,1968.0,10.700000000000003,Gas,Bcm
Venezuela,1968.0,778.82,Gas,Bcm
Iran,1968.0,2832.06,Gas,Bcm
Iraq,1968.0,622.0,Gas,Bcm
Kuwait,1968.0,1163.98,Gas,Bcm
Oman,1968.0,42.48,Gas,Bcm
Qatar,1968.0,205.0,Gas,Bcm
Saudi Arabia,1968.0,1627.0,Gas,Bcm
United Arab Emirates,1968.0,226.56,Gas,Bcm
Algeria,1968.0,3959.0,Gas,Bcm
Angola,1968.0,15.0,Gas,Bcm
Cameroon,1968.0,0.0,Gas,Bcm
Congo,1968.0,0.06,Gas,Bcm
Egypt,1968.0,30.0,Gas,Bcm
Equatorial Guinea,1968.0,0.0,Gas,Bcm
Gabon,1968.0,14.16,Gas,Bcm
Libya,1968.0,566.41,Gas,Bcm
Mozambique,1968.0,0.0,Gas,Bcm
Nigeria,1968.0,110.7,Gas,Bcm
Russian Federation & USSR,1968.0,7869.765919282511,Gas,Bcm
Bulgaria,1968.0,0.0,Gas,Bcm
Romania,1968.0,613.0,Gas,Bcm
Canada,1969.0,1317.80566428736,Gas,Bcm
Chile,1969.0,7756.386112569498,Gas,Bcm
Mexico,1969.0,65.27,Gas,Bcm
United States of America,1969.0,339.85,Gas,Bcm
Denmark,1969.0,0.0,Gas,Bcm
Germany,1969.0,170.0,Gas,Bcm
Italy,1969.0,178.42,Gas,Bcm
Netherlands,1969.0,1916.1800000000007,Gas,Bcm
Norway,1969.0,0.0,Gas,Bcm
Poland,1969.0,60.0,Gas,Bcm
United Kingdom,1969.0,764.56,Gas,Bcm
Australia,1969.0,196.0,Gas,Bcm
Japan,1969.0,17.0,Gas,Bcm
New Zealand,1969.0,14.0,Gas,Bcm
China,1969.0,100.0,Gas,Bcm
India,1969.0,40.0,Gas,Bcm
Bangladesh,1969.0,0.0,Gas,Bcm
Brunei Darussalam,1969.0,60.0,Gas,Bcm
Indonesia,1969.0,141.59,Gas,Bcm
Malaysia,1969.0,0.0,Gas,Bcm
Burma,1969.0,5.0,Gas,Bcm
Pakistan,1969.0,496.2,Gas,Bcm
Thailand,1969.0,0.0,Gas,Bcm
Viet Nam,1969.0,0.0,Gas,Bcm
Argentina,1969.0,188.7999999999999,Gas,Bcm
Bolivia,1969.0,82.8,Gas,Bcm
Brazil,1969.0,26.8,Gas,Bcm
Colombia,1969.0,76.20000000000002,Gas,Bcm
Ecuador,1969.0,4.25,Gas,Bcm
Peru,1969.0,17.9,Gas,Bcm
Trinidad and Tobago,1969.0,73.8,Gas,Bcm
Venezuela,1969.0,732.0,Gas,Bcm
Iran,1969.0,2832.06,Gas,Bcm
Iraq,1969.0,617.0,Gas,Bcm
Kuwait,1969.0,1154.06,Gas,Bcm
Oman,1969.0,42.48,Gas,Bcm
Qatar,1969.0,205.0,Gas,Bcm
Saudi Arabia,1969.0,1612.0,Gas,Bcm
United Arab Emirates,1969.0,297.37,Gas,Bcm
Algeria,1969.0,3952.0,Gas,Bcm
Angola,1969.0,15.0,Gas,Bcm
Cameroon,1969.0,0.0,Gas,Bcm
Congo,1969.0,0.14,Gas,Bcm
Egypt,1969.0,30.0,Gas,Bcm
Equatorial Guinea,1969.0,0.0,Gas,Bcm
Gabon,1969.0,14.16,Gas,Bcm
Libya,1969.0,849.62,Gas,Bcm
Mozambique,1969.0,0.0,Gas,Bcm
Nigeria,1969.0,141.6,Gas,Bcm
Russian Federation & USSR,1969.0,8024.241479820628,Gas,Bcm
Bulgaria,1969.0,0.0,Gas,Bcm
Romania,1969.0,613.0,Gas,Bcm
Canada,1970.0,1638.0,Gas,Bcm
Chile,1970.0,7790.0,Gas,Bcm
Mexico,1970.0,78.0,Gas,Bcm
United States of America,1970.0,340.0,Gas,Bcm
Denmark,1970.0,0.0,Gas,Bcm
Germany,1970.0,280.0,Gas,Bcm
Italy,1970.0,164.0,Gas,Bcm
Netherlands,1970.0,1936.0,Gas,Bcm
Norway,1970.0,0.0,Gas,Bcm
Poland,1970.0,70.0,Gas,Bcm
United Kingdom,1970.0,850.0,Gas,Bcm
Australia,1970.0,286.0,Gas,Bcm
Japan,1970.0,17.0,Gas,Bcm
New Zealand,1970.0,14.0,Gas,Bcm
China,1970.0,100.0,Gas,Bcm
India,1970.0,40.0,Gas,Bcm
Bangladesh,1970.0,0.0,Gas,Bcm
Brunei Darussalam,1970.0,115.0,Gas,Bcm
Indonesia,1970.0,141.6,Gas,Bcm
Malaysia,1970.0,0.0,Gas,Bcm
Burma,1970.0,4.0,Gas,Bcm
Pakistan,1970.0,590.0,Gas,Bcm
Thailand,1970.0,0.0,Gas,Bcm
Viet Nam,1970.0,0.0,Gas,Bcm
Argentina,1970.0,207.66666666666652,Gas,Bcm
Bolivia,1970.0,85.0,Gas,Bcm
Brazil,1970.0,25.8,Gas,Bcm
Colombia,1970.0,79.0,Gas,Bcm
Ecuador,1970.0,98.6,Gas,Bcm
Peru,1970.0,50.0,Gas,Bcm
Trinidad and Tobago,1970.0,85.0,Gas,Bcm
Venezuela,1970.0,764.7,Gas,Bcm
Iran,1970.0,6060.6,Gas,Bcm
Iraq,1970.0,611.0,Gas,Bcm
Kuwait,1970.0,1189.5,Gas,Bcm
Oman,1970.0,56.6,Gas,Bcm
Qatar,1970.0,205.0,Gas,Bcm
Saudi Arabia,1970.0,1596.0,Gas,Bcm
United Arab Emirates,1970.0,291.0,Gas,Bcm
Algeria,1970.0,3944.0,Gas,Bcm
Angola,1970.0,42.0,Gas,Bcm
Cameroon,1970.0,0.0,Gas,Bcm
Congo,1970.0,0.1,Gas,Bcm
Egypt,1970.0,40.0,Gas,Bcm
Equatorial Guinea,1970.0,0.0,Gas,Bcm
Gabon,1970.0,14.2,Gas,Bcm
Libya,1970.0,849.6,Gas,Bcm
Mozambique,1970.0,0.0,Gas,Bcm
Nigeria,1970.0,169.9,Gas,Bcm
Russian Federation & USSR,1970.0,9622.469394618834,Gas,Bcm
Bulgaria,1970.0,0.0,Gas,Bcm
Romania,1970.0,663.0,Gas,Bcm
Canada,1971.0,1702.0612544660578,Gas,Bcm
Chile,1971.0,7894.94,Gas,Bcm
Mexico,1971.0,72.98,Gas,Bcm
United States of America,1971.0,325.69,Gas,Bcm
Denmark,1971.0,0.0,Gas,Bcm
Germany,1971.0,262.9,Gas,Bcm
