source,type,scenario,year,oil_production,oil_production_unit,cumulated_oil_prod_since_2018,extrapolation_curve,oil_reserves,oil_reserves_label
IEA,Historical Data,,1980,63.8,mb/d,,,,
IEA,Historical Data,,1990,66.3,mb/d,,,,
IEA,Historical Data,,2000,75.1,mb/d,,,,
IEA,Historical Data,,2009,81,mb/d,,,,
IEA,Historical Data,,2010,83.6,mb/d,,,,
IEA,Historical Data,,2011,87.4,mb/d,,,,
IEA,Historical Data,,2014,90.6,mb/d,,,,
IEA,Historical Data,,2015,94.1,mb/d,,,,
IEA,Historical Data,,2016,92.4,mb/d,,,,
IEA,Historical Data,,2018,95.4,mb/d,95.4,,,
Reconstructed IEA,Scenario,Sustainable Development,2018,95.4,mb/d,95.4,,,
Reconstructed IEA,Scenario,Sustainable Development,2019,94.53333333,mb/d,189.93333330000002,,,
Reconstructed IEA,Scenario,Sustainable Development,2020,93.66666667,mb/d,283.6,,,
Reconstructed IEA,Scenario,Sustainable Development,2021,92.8,mb/d,376.4,,,
Reconstructed IEA,Scenario,Sustainable Development,2022,91.93333333,mb/d,468.33333330000005,,,
Reconstructed IEA,Scenario,Sustainable Development,2023,91.06666667,mb/d,559.4,,,
Reconstructed IEA,Scenario,Sustainable Development,2024,90.2,mb/d,649.6,,,
Reconstructed IEA,Scenario,Sustainable Development,2025,89.33333333,mb/d,738.9333333,,,
Reconstructed IEA,Scenario,Sustainable Development,2026,88.46666667,mb/d,827.4,,,
Reconstructed IEA,Scenario,Sustainable Development,2027,87.6,mb/d,915.0,,,
Reconstructed IEA,Scenario,Sustainable Development,2028,86.73333333,mb/d,1001.733333,,,
Reconstructed IEA,Scenario,Sustainable Development,2029,85.86666667,mb/d,1087.6,,,
IEA,Scenario,Sustainable Development,2030,85,mb/d,1172.6,,,
Reconstructed IEA,Scenario,Sustainable Development,2031,83.01,mb/d,1255.61,,,
Reconstructed IEA,Scenario,Sustainable Development,2032,81.02,mb/d,1336.63,,,
Reconstructed IEA,Scenario,Sustainable Development,2033,79.03,mb/d,1415.66,,,
Reconstructed IEA,Scenario,Sustainable Development,2034,77.04,mb/d,1492.7,,,
Reconstructed IEA,Scenario,Sustainable Development,2035,75.05,mb/d,1567.75,,,
Reconstructed IEA,Scenario,Sustainable Development,2036,73.06,mb/d,1640.81,,,
Reconstructed IEA,Scenario,Sustainable Development,2037,71.07,mb/d,1711.88,,,
Reconstructed IEA,Scenario,Sustainable Development,2038,69.08,mb/d,1780.96,,,
Reconstructed IEA,Scenario,Sustainable Development,2039,67.09,mb/d,1848.05,,,
IEA,Scenario,Sustainable Development,2040,65.1,mb/d,1913.15,,,
The Shift Project,Extrapolation,Sustainable Development,2040,65.1,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2041,65.1,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2042,65.1,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2043,65.1,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2043,14.837671232876682,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2044,0,mb/d,nan,Square,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2040,65.1,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2041,64.102017,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2042,63.104034,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2043,62.106051,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2044,61.108067999999996,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2045,60.110085,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2046,59.11210199999999,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2047,58.114118999999995,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2048,57.116136,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2049,56.118153,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2050,55.12017,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2051,54.122187,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2052,53.124204,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2053,52.126221,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2054,51.128238,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2055,50.130255,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2056,49.132272,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2057,48.134289,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2058,47.136306000000005,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2059,46.138323,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2060,45.14034,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2061,44.142357000000004,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2062,43.144374000000006,mb/d,nan,Triangle,775,775 (Laherrère 2020)
