source,type,scenario,year,oil_production,oil_production_unit,cumulated_oil_prod_since_2018,extrapolation_curve,oil_reserves,oil_reserves_label
The Shift Project,Extrapolation,Sustainable Development,2063,42.14639100000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2064,41.148408,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2065,40.150425000000006,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2066,39.15244200000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2067,38.154459,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2068,37.156476000000005,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2069,36.15849300000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2070,35.16051000000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2071,34.162527000000004,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2072,33.16454400000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2073,32.16656100000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2074,31.168578000000004,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2075,30.170595000000006,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2076,29.172612000000008,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2077,28.17462900000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2078,27.176646000000005,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2079,26.178663000000007,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2080,25.18068000000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2081,24.182697000000005,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2082,23.184714000000007,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2083,22.18673100000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2084,21.18874800000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2085,20.190765000000013,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2086,19.192782000000015,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2087,18.194799000000007,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2088,17.196816000000005,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2089,16.198833000000008,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2090,15.20085000000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2091,14.202867000000012,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2092,13.204884000000014,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2093,12.206901000000016,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2094,11.208918000000008,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2095,10.210935000000008,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2096,9.21295200000001,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2097,8.214969000000012,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2098,7.216986000000014,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2099,6.219003000000016,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2100,5.221020000000017,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2101,4.223037000000009,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2102,3.2250540000000107,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2103,2.2270710000000125,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2104,1.229088000000014,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2105,0.2311050000000156,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2106,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2107,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2108,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2109,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2110,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2111,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2112,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2113,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2114,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2115,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2116,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2117,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2118,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2119,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2120,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2121,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2122,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2123,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2124,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2125,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2126,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2127,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2128,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2129,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2130,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2131,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2132,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2133,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2134,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2135,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2136,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2137,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2138,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2139,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2140,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2141,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2142,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2143,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2144,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2145,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2146,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2147,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2148,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2149,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2150,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2151,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2152,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2153,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2154,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2155,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2156,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2157,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2158,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2159,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2160,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2161,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2162,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2163,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2164,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2165,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2166,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2167,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2168,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2169,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2170,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2171,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2172,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2173,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2174,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2175,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2176,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2177,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2178,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2179,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2180,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2181,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2182,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2183,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2184,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2185,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2186,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2187,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2188,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2189,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2190,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2191,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2192,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2193,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2194,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2195,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2196,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2197,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2198,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2199,0,mb/d,nan,Triangle,775,775 (Laherrère 2020)
The Shift Project,Extrapolation,Sustainable Development,2035,56.18561643835609,mb/d,nan,Square,600,600
The Shift Project,Extrapolation,Sustainable Development,2036,0,mb/d,nan,Square,600,600
The Shift Project,Extrapolation,Sustainable Development,2040,65.1,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2041,63.810938625,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2042,62.521877249999996,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2043,61.23281587499999,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2044,59.943754500000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2045,58.654693125,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2046,57.36563175,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2047,56.076570374999996,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2048,54.787509,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2049,53.498447625,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2050,52.20938625,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2051,50.92032487499999,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2052,49.6312635,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2053,48.342202125,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2054,47.05314075,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2055,45.764079375,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2056,44.475018,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2057,43.185956625,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2058,41.89689525,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2059,40.607833875,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2060,39.3187725,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2061,38.029711125,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2062,36.74064975,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2063,35.451588375,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2064,34.162527000000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2065,32.873465625,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2066,31.584404250000002,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2067,30.295342875000006,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2068,29.006281500000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2069,27.717220125000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2070,26.42815875,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2071,25.139097375000006,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2072,23.850036000000003,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2073,22.560974625000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2074,21.271913250000008,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2075,19.982851875000005,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2076,18.693790500000006,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2077,17.404729125000003,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2078,16.115667750000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2079,14.826606375,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2080,13.53754500000001,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2081,12.24848362500001,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2082,10.959422250000008,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2083,9.670360875000007,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2084,8.381299500000006,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2085,7.092238125000004,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2086,5.803176750000003,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2087,4.514115375000012,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2088,3.2250540000000107,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2089,1.9359926250000095,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2090,0.6469312500000084,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2091,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2092,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2093,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2094,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2095,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2096,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2097,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2098,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2099,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2100,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2101,0,mb/d,nan,Triangle,600,600
The Shift Project,Extrapolation,Sustainable Development,2102,0,mb/d,nan,Triangle,600,600
