country,type,country_to,co2,co2_unit,continent_to
Afghanistan,CO2 Exports,Afghanistan,0,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Albania,0.641580716,MtCO2e,Europe
Afghanistan,CO2 Exports,Algeria,0.5683441269999999,MtCO2e,Africa
Afghanistan,CO2 Exports,Andorra,0.19999642739999995,MtCO2e,Europe
Afghanistan,CO2 Exports,Angola,0.4557720199999999,MtCO2e,Africa
Afghanistan,CO2 Exports,Antigua and Barbuda,0.13114858680000002,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Argentina,1.1441935960000003,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Aruba,0.25651040700000005,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Australia,1.8786067909999997,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Austria,1.301799895,MtCO2e,Europe
Afghanistan,CO2 Exports,Bahamas,0.1589807808,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Bangladesh,0.742651875,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Barbados,0.14902785179999997,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Belgium,5.174236403999999,MtCO2e,Europe
Afghanistan,CO2 Exports,Belize,0.1319656477,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Benin,0.32708569800000004,MtCO2e,Africa
Afghanistan,CO2 Exports,Bermuda,0.242771461,MtCO2e,North America
Afghanistan,CO2 Exports,Bhutan,0.6176157,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Bolivia,0.333337227,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Bosnia and Herzegovina,0.21964826699999998,MtCO2e,Europe
Afghanistan,CO2 Exports,Botswana,0.27137506400000005,MtCO2e,Africa
Afghanistan,CO2 Exports,Brazil,2.3758398759999997,MtCO2e,Central and South America
Afghanistan,CO2 Exports,British Virgin Islands,0.1379792016,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Brunei Darussalam,0.19204419660000002,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Bulgaria,0.3529908439999999,MtCO2e,Europe
Afghanistan,CO2 Exports,Burkina Faso,0.9555199179999999,MtCO2e,Africa
Afghanistan,CO2 Exports,Burma,0.10975555320000002,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Burundi,0.38637702200000007,MtCO2e,Africa
Afghanistan,CO2 Exports,Cambodia,0.280326838,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Cameroon,0.271355689,MtCO2e,Africa
Afghanistan,CO2 Exports,Canada,2.2396633090000004,MtCO2e,North America
Afghanistan,CO2 Exports,Cape Verde,0.24503491,MtCO2e,Africa
Afghanistan,CO2 Exports,Cayman Islands,0.15552208590000005,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Central African Republic,0.1808730058,MtCO2e,Africa
Afghanistan,CO2 Exports,Chad,0.24235180300000003,MtCO2e,Africa
Afghanistan,CO2 Exports,Chile,0.7647956679999999,MtCO2e,Central and South America
Afghanistan,CO2 Exports,China,13.076998030000002,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Colombia,0.7683474980000001,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Congo,0.32320217999999995,MtCO2e,Africa
Afghanistan,CO2 Exports,Costa Rica,0.41109966099999995,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Croatia,0.33907460300000003,MtCO2e,Europe
Afghanistan,CO2 Exports,Cuba,0.25810027499999993,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Cyprus,0.22415119830000002,MtCO2e,Europe
Afghanistan,CO2 Exports,Czechia,0.9247914430000002,MtCO2e,Europe
Afghanistan,CO2 Exports,Democratic Republic of the Congo,0.5525819800000001,MtCO2e,Africa
Afghanistan,CO2 Exports,Denmark,1.235088361,MtCO2e,Europe
Afghanistan,CO2 Exports,Djibouti,0.18583174689999998,MtCO2e,Africa
Afghanistan,CO2 Exports,Dominican Republic,0.287665556,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Ecuador,1.998177037,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Egypt,0.47599591699999994,MtCO2e,Africa
Afghanistan,CO2 Exports,El Salvador,0.621484416,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Eritrea,0.178451967,MtCO2e,Africa
Afghanistan,CO2 Exports,Eswatini,0.16914273920000003,MtCO2e,Africa
Afghanistan,CO2 Exports,Ethiopia,0.495386429,MtCO2e,Africa
Afghanistan,CO2 Exports,Fiji,0.208067834,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Finland,6.9671122930000005,MtCO2e,Europe
Afghanistan,CO2 Exports,France,5.991218332000001,MtCO2e,Europe
Afghanistan,CO2 Exports,French Polynesia,0.29834944799999996,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Gabon,0.264661128,MtCO2e,Africa
Afghanistan,CO2 Exports,Gambia,0.1318792967,MtCO2e,Africa
Afghanistan,CO2 Exports,Germany,15.625584880000002,MtCO2e,Europe
Afghanistan,CO2 Exports,Ghana,0.38262203199999995,MtCO2e,Africa
Afghanistan,CO2 Exports,Greece,1.0079451670000001,MtCO2e,Europe
Afghanistan,CO2 Exports,Greenland,0.14771109150000003,MtCO2e,North America
Afghanistan,CO2 Exports,Guatemala,0.26888554400000003,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Guinea,0.2942773120000001,MtCO2e,Africa
Afghanistan,CO2 Exports,Guyana,1.023978748,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Haiti,0.261385557,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Honduras,0.23054182499999995,MtCO2e,Central and South America
Afghanistan,CO2 Exports,Hong Kong Special Administrative Region (China),1.582534806,MtCO2e,Asia and Oceania
Afghanistan,CO2 Exports,Hungary,0.5747361919999999,MtCO2e,Europe
Afghanistan,CO2 Exports,Iceland,0.19907879650000002,MtCO2e,Europe
Afghanistan,CO2 Exports,India,210.84620039,MtCO2e,Asia and Oceania
