Report generated on: 02-06-2025 11:54:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.38-12-BHR-MTOE.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BGD-MTOE.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000859845227479858","0.00005159071364879148","0.00007738607047318723","0.00010318142729758296","0.0001289767841219787","0.00015477214094637446","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432","0.0003439380909919432"
"INTL.38-12-BRB-MTOE.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0003525365432667418","0.0003439380909919432","0.00023215821141956168","0.00023215821141956168","0.0002235597591447631","0.00023215821141956168","0.0003181427341675475","0.00024075666369436025","0.00014617368867157586","0.0001719690454959716","0.0001719690454959716","0.00018879518478347946","0.00020562141005551004"
"INTL.38-12-BLR-MTOE.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001719690454959716","0.0012037833184718012","0.0028374892506835316","0.005674978501367063","0.00799656061556268","0.009028374888538509","0.010920034388994197","0.013069647457693843","0.0133276010259378","0.01599312123112536","0.015133276003645502","0.016766981935857232","0.017712811686085076","0.02889079964332323","0.0509028374668076","0.047205502988644205","0.04316423041948887","0.04585124675536343"
"INTL.38-12-BEL-MTOE.A","        Belgium","0.024505588983175956","0.02373172827844408","0.021410146164248467","0.01788478073158105","0.018830610481808892","0.02562338777889977","0.03895098880483757","0.04342218398773283","0.048495270829864","0.052364574353523353","0.06216680994679374","0.06938950985762454","0.07472055026799966","0.0751504728817396","0.07592433358647147","0.0895958727034012","0.09019776436263711","0.07730008595043925","0.08632846083897774","0.10326741182033095","0.11487532239130903","0.13611349951006152","0.1429062768071524","0.13955288041998096","0.16741186579032835","0.19346517618296807","0.2669819431324959","0.3130696473254163","0.37773000843190163","0.4524505586999013","0.4856405844806238","0.5144453996011991","0.5599312121348836","0.5317282886735443","0.48469475473039597","0.5803095440261562","0.5719690453196016","0.6018916592359006","0.5747377469520867","0.5487446257253706","0.5591487529778769","0.5256663798198112","0.5349957005379676","0.4139294925088037"
"INTL.38-12-BLZ-MTOE.A","        Belize","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0.003439380909919432","0","0","0","0","0","0","0","0","0","0","0.009105760959011697","0.005374032671749113","0.01168529664145127","0.007523645740448758","0.005683576953641862","0.008099742042860262","0.00872742905892056","0.009312123813606863","0.01145313843003171","0.013284608764563806","0.011986242471069221","0.012287188300687172","0.013360283485080742","0.012724595351225176"
"INTL.38-12-BEN-MTOE.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0003439380909919432","0.0002579535682439574","0.0002579535682439574","0.0000859845227479858","0.0000859845227479858","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BMU-MTOE.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005588993978619078","0.0006448839206098935","0.0006448839206098935","0.0006448839206098935","0.0006448839206098935","0.0006448839206098935","0.0006448839206098935","0.0006878761819838864","0.0006018916592359006","0.0005588993978619078","0.000533104041037512","0.0005159071364879148","0.0005159071364879148","0.0005159071364879148","0.0005159071364879148","0.0005159071364879148","0.0005159071364879148","0.0005588993978619078","0.0005588993978619078","0.0005588993978619078","0.0005159071364879148","0.0005159071364879148","0.0005480660358718435","0.0005517340496277498"
"INTL.38-12-BTN-MTOE.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BOL-MTOE.A","        Bolivia","0.003955288046407347","0.0019776440232036735","0.0019776440232036735","0.003525365432667418","0.003353396387171446","0.0030094582961795032","0.003181427341675475","0.0040412725691553325","0.004127257091903319","0.0038693035236593613","0.0027515047279355457","0.003181427341675475","0.003525365432667418","0.0036973344781633896","0.0037833190009113754","0.0038693035236593613","0.0040412725691553325","0.004127257091903319","0.0042992261373992905","0.004471195182895262","0.004643164228391234","0.004643164228391234","0.004643164228391234","0.004643164228391234","0.004815133273887205","0.004815133273887205","0.003439380909919432","0.004127257091903319","0.005503009455871091","0.006792777297090879","0.006620808251594907","0.007308684433578794","0.006878761819838864","0.010920034388994197","0.010834049866246212","0.01736887359509313","0.015133276003645502","0.011435941525482112","0.014488392083035609","0.02077386069591337","0.02811693893859136","0.03912295785033354","0.04582975062467643","0.03583068975204314"
