Report generated on: 02-13-2025 14:32:08
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","total energy production from natural gas (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4413-1-WORL-QBTU.A","    World","54.761045594","55.573536747","55.495522664","56.115951591","61.758597532","64.124522824","65.3286482","68.456090111","71.852937709","74.275334695","75.71061055622445","76.54630922805","76.98422316215","78.26171644017","79.09593181919","80.259389028885","82.472672797445","82.67449658445","84.254563484725","86.177673629795","89.284232201125","91.07169452946","93.015439943915","96.017745427345","98.69077144902","102.05366759534","105.9648831963465","108.24629312239315","111.655585316465","109.557474242312","116.9456786391905","121.00264316649792","123.53319087066691","125.0319148566211","126.99005268263717","129.64451519214128","130.87610482247993","138.4752003759406","145.2466644518561","149.7100607142621","145.8799502595929","152.03025611880338","152.85761575195687"
"INTL.4413-1-AFG-QBTU.A","        Afghanistan","0.06282","0.082713","0.084807","0.088995","0.088995","0.109935","0.109935","0.103653","0.110982","0.108888","0.10889059500959744","0.011517","0.0110924415","0.0110924415","0.01108773","0.00739182","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00184874025","0.00184874025","0.0007394961","0.0007394961","0.0007394961","0.0007394961","0.0014789922","0.00184874025","0.00110924415","0.00524668025871","0.00596768283126","0.00592701089127","0.00571255884405","0.00524668025871","0.00540567056958","0.00611188334577","0.00611188334577","0.00599833778713622","0.005039073584885323","0.00314012200083763","NA","NA"
"INTL.4413-1-ALB-QBTU.A","        Albania","0.01047","0.011517","0.01047","0.011517","0.011517","0.01047","0.014658","0.016752","0.026175","0.026175","0.00942515337423312","0.00522","0.003760488","0.001105596","0.00110664","0.00110664","0.0011060658","0.0007373772","0.0011060658","0.0007373772","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0003651571","0.00107110395","0.00107110395","0.00035279685","0.00035279685","0.000599754645","0.000670314015","0.00112894992","0.001234788975","0.0015875723385","0.001763969265","0.001514288878317","0.002749278083886","0.001965963256812","0.002080411714791","0.001785942476793"
"INTL.4413-1-DZA-QBTU.A","        Algeria","0.48498","0.91096","1.11156","1.55052","1.6048","1.6048","1.5694","1.7995","1.9293","2.01662","2.10866","2.28094","2.32528086","2.24443788","2.1319296","2.421124","2.47277431065","2.7422203445","2.93525036875","3.24091440715","3.3129524162","3.1410163946","3.15415039625","3.2118604035","3.18997040075","3.551553446175","3.470560436","3.18139676631","3.24432936765","3.12573283953","3.1732582833","3.10413743451","3.24241663662","2.98716080544","3.12393982635","3.1143761712","3.517358922693","3.57322200615","3.608138943414","3.339705133368","3.162318267654","3.910748883066","3.78239083398"
"INTL.4413-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4413-1-AGO-QBTU.A","        Angola","0.0096324","0.0092136","0.01047","0.012564","0.012564","0.013611","0.014658","0.016752","0.018846","0.015705","0.0198920731707318","0.02094","0.02107563885","0.0207058908","0.01922292","0.0207058908","0.0207058908","0.02107563885","0.0214453869","0.0207058908","0.02107563885","0.01959664665","0.0229243791","0.02403362325","0.02773110375","0.02403362325","0.0251428674","0.03068908815","0.0251428674","0.02551261545","0.02713950687","0.02780505336","0.0281008518","0.034201694625","0.027028582455","0.028581524265","0.063337545711","0.2134336722","0.23882491941","0.2502325812","0.27415187205","0.21895350855","0.20386595586"
"INTL.4413-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4413-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4413-1-ARG-QBTU.A","        Argentina","0.28728","0.354996","0.409374","0.45657","0.506844","0.513","0.561222","0.540702","0.648432","0.73872","0.64640052","0.73550235","0.7414066","0.794182235","0.8218507","0.92297535","0.98054392975","1.0104363115","1.09199453825","1.27577732975","1.38058518675","1.3706210595","1.33260975925","1.514547342","1.656259374","1.68393750525","1.7012824675","1.65441416525","1.6259979505","1.52643048635","1.4798574175","1.43077486475","1.389073147","1.312312463","1.3100982125","1.34331197","1.449078437059","1.509896000811","1.54828946195","1.61358323973","1.479978283245","1.49185458389","1.62504341406"
