Report generated on: 02-06-2025 11:53:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.27-12-BEL-MTOE.A","        Belgium","1.023989681405763","1.0506448834576385","1.2684436795782865","1.963198623382012","2.2664660351141577","2.811006017677152","3.2073946675453664","3.4190885625509075","3.5156491815968955","3.362338777537237","3.489767840249752","3.501117797252486","3.549699052605098","3.4248495255750226","3.318400686413016","3.3781599297228664","3.5398968170118277","3.8727429045692805","3.7709372296356656","4.003955286282707","3.933705931197603","3.786070505639311","3.868615647477377","3.870249353409589","3.86466035943097","3.8981083387799367","3.810318141054243","3.942648321563393","3.7282029218299164","3.865864142749442","3.931900256219895","3.9503009440879637","3.307308682978526","3.493723128296159","2.759587273073856","2.1345657772187474","3.562381769710426","3.450429921092548","2.3324419594186874","3.5516423028192023","2.8035941518162755","4.117944968089712","3.578381984664678","2.685312681533089"
"INTL.27-12-BLZ-MTOE.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BEN-MTOE.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BMU-MTOE.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BTN-MTOE.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BOL-MTOE.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BIH-MTOE.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BWA-MTOE.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BRA-MTOE.A","        Brazil","0","0","0.004385210660147276","0.01496130695814953","0.2349957006702452","0.25116079094686655","0.010060189161514339","0.07867583831440701","0.0266552020518756","0.1300945829177025","0.16646603604010052","0.11779879616474055","0.1429922613299004","0.03608615647592018","0.004489423901717835","0.2059028373984642","0.19841358546711466","0.25886070495894864","0.2695614788149355","0.3248495269418904","0.4247635423750499","1.2268271705682614","1.1900257948321236","1.1521926048230098","0.9974204638766353","0.7907996557132254","1.1164230433598477","1.0017196900140346","1.1357695609781444","1.0510748060713784","1.1843508163307566","1.27214101405645","1.3043852100869446","1.259243335644252","1.2435941525041188","1.1958211516653379","1.2875322436283394","1.2774032668486268","1.272098021795076","1.3036199478344876","1.1358039547872436","1.1766380046402622","1.2518486666879254","1.24823731673251"
"INTL.27-12-VGB-MTOE.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BRN-MTOE.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BGR-MTOE.A","        Bulgaria","0.49957007716579754","0.73895098849619","0.8707652618688523","0.9981083400586193","1.0319002574985776","1.0640584690063244","0.9781599307810865","1.0076526220836457","1.2989681851538215","1.2553740321205928","1.163198623734752","1.0670679273025039","0.9447119514321201","1.1411865859112675","1.2522355970402912","1.4098882194987232","1.5275150466179679","1.4135855539768867","1.3803955281961642","1.2917454852429908","1.4848667233349668","1.5681857258777652","1.738607049964273","1.3791917448776922","1.3411865858230825","1.4942390363144973","1.5609630259669343","1.177540842129116","1.2675838343508068","1.2226139289536102","1.224075665840326","1.3124677552252553","1.277815992557817","1.1449699049121789","1.290971624538259","1.2491831464827379","1.283920893672924","1.2655545996139543","1.3148065342440005","1.3510232152254522","1.3574634559792762","1.3457265686241762","1.4154772134773423","1.3897678411756946"
"INTL.27-12-BFA-MTOE.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-MMR-MTOE.A","        Burma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-BDI-MTOE.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-CPV-MTOE.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-KHM-MTOE.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.27-12-CMR-MTOE.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
