Report generated on: 02-06-2025 11:54:11
"API","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","solar, tide, wave, fuel cell electricity net generation (MMTOE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.36-12-WORL-MTOE.A","    World","1.3722133397179015","1.4647392964191532","1.5175448999842966","1.59387582486274","1.643776687682204","1.6852602449980534","1.7187355981977162","1.7345831753564793","1.7480187410130483","1.7412485805084554","1.7062915327168349","1.593555240719176","1.55107834296705","1.534831546263997","1.534812652307172","1.5675262303061368","1.633952164105505","1.807769905324977","2.023373531736002","2.4918683178965613","3.2159848309758545","4.335523055181175","7.209273117678678","10.50390869852188","14.101714626143025","18.760709733594616","23.31684014079158","29.92396543026719","39.4886635062436","50.409433278497296","61.91902119135011","75.37278102270051","91.23584634466151","113.45250275268313","136.148994329514"
"INTL.36-12-AFG-MTOE.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001719690454959716","0.00001719690454959716","0.0024075666369436023","0.002579535682439574","0.0027515047279355457","0.0028374892506835316","0.0030094582961795032","0.0032674118644234608","0.003181427341675475","0.004815133273887205","0.005674978501367063","0.006792777297090879","0.008082545138310665","0.008082545138310665"
"INTL.36-12-ALB-MTOE.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000429922613739929","0.00006878761819838864","0.00007738607047318723","0.0000859845227479858","0.0000859845227479858","0.0000859845227479858","0.0001719690454959716","0.0000859845227479858","0.0000859845227479858","0.0018916595004556877","0.0027773000847599416","0.003525365432667418","0.013843508162425714","0.025537403256151784"
"INTL.36-12-DZA-MTOE.A","        Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000859845227479858","0.00000859845227479858","0","0","0","0.004987102319383176","0.007480653479074765","0.04918314701184788","0.05915735165061423","0.06113499567381791","0.07016337056235641","0.06818572653915274","0.07179707649456815","0.07491890718966629"
"INTL.36-12-ASM-MTOE.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00007738607047318723","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0002579535682439574","0.000429922613739929","0.000429922613739929","0.000429922613739929","0.000429922613739929","0.000429922613739929","0.00043397678398749654","0.000429922613739929"
"INTL.36-12-AGO-MTOE.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000859845227479858","0.0009458297502278439","0.0012037833184718012","0.001289767841219787","0.0014617368867157587","0.0015477214094637445","0.0015735167662881402","0.0015477214094637445","0.0015477214094637445","0.0015477214094637445","0.0015735167662881402","0.0015477214094637445","0.03327601030347051","0.03327601030347051"
"INTL.36-12-ATA-MTOE.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-ATG-MTOE.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001719690454959716","0.0000429922613739929","0.0000429922613739929","0.00005159071364879148","0.00005159071364879148","0.00046431642283912335","0.000429922613739929","0.0005245055887627134","0.000859845227479858","0.0011177987957238155","0.0013757523639677729","0.001676698193585723","0.0019776440232036735","0.0019776440232036735"
"INTL.36-12-ARG-MTOE.A","        Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000859845227479858","0.00000859845227479858","0.00000859845227479858","0.00000859845227479858","0.00000859845227479858","0.00000859845227479858","0.00000859845227479858","0.0001719690454959716","0.0006878761819838864","0.001289767841219787","0.0013757523639677729","0.0012811693889449886","0.0011951848661970028","0.0014015477207921685","0.009243336195408474","0.06808254511185516","0.11446259668211871","0.18753224411335703","0.2501157436558398","0.2786103954059585"
"INTL.36-12-ARM-MTOE.A","        Armenia","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000859845227479858","0.0002579535682439574","0.0016337059322117304","0.005245055887627134","0.011779879616474056","0.025279449687907827","0.04505588991994456","0.06638005156144504"
"INTL.36-12-ABW-MTOE.A","        Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000859845227479858","0.0000429922613739929","0.0000859845227479858","0.0001719690454959716","0.0005159071364879148","0.000859845227479858","0.0009200343934034481","0.0009200343934034481","0.0016337059322117304","0.002235597591447631","0.002235597591447631","0.002235597591447631","0.002235597591447631","0.002235597591447631"
"INTL.36-12-AUS-MTOE.A","        Australia","0","0","0","0.0008942390365790524","0.0009458297502278439","0.0011177987957238155","0.0013757523639677729","0.0016337059322117304","0.0019776440232036735","0.0024075666369436023","0.0029234737734315174","0.0032674118644234608","0.0037833190009113754","0.0042992261373992905","0.005073086842131163","0.00593293206961102","0.006792777297090879","0.007824591570066708","0.009372312979530452","0.010920034388994197","0.013757523639677728","0.033447979348966476","0.11969045566519625","0.199914015389067","0.29888220107199864","0.34479793621942306","0.4319002577631327","0.6076440238077409","0.7466809970912339","1.0555975919679226","1.6019002572472503","2.1150214951981305","2.8380137562722942","3.4115880638439826","4.095605432415985"
"INTL.36-12-AUT-MTOE.A","        Austria","0","0","0","0","0.0000859845227479858","0.0000859845227479858","0.0000859845227479858","0.0000859845227479858","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0002579535682439574","0.000429922613739929","0.0007738607047318723","0.001289767841219787","0.0015477214094637445","0.0018056749777077019","0.0018916595004556877","0.0020636285459516594","0.002579535682439574","0.004213241614651304","0.007257093719930002","0.014213241610242053","0.027704213229401028","0.05141874460329551","0.0642132415881958","0.07644883917523418","0.0896216680602256","0.10417024930918481","0.11921754079008232","0.14018056743604126","0.16848255366603856","0.23023834039719238","0.32605331026036216","0.5238177125807295"
"INTL.36-12-AZE-MTOE.A","        Azerbaijan","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000859845227479858","0.0002579535682439574","0.000429922613739929","0.0030094582961795032","0.003181427341675475","0.003353396387171446","0.0037833190009113754","0.0040412725691553325","0.004729148751139219","0.005245055887627134","0.00581828606794188"
"INTL.36-12-BHR-MTOE.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00006878761819838864","0.00006878761819838864","0.0007136715388082822","0.0007136715388082822","0.0007136715388082822","0.0007136715388082822","0.0009458297502278439","0.0015477214094637445","0.0015477214094637445","0.003353396387171446","0.007136715388082822","0.0077386070473187225"
