Report generated on: 02-06-2025 11:56:43
"API","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","biodiesel production (MMTOE)","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.81-1-WORL-MTOE.A","    World","0.7799469724210161","1.035081544236846","1.33845649541093","1.61512032179185","2.05762338478097","3.2065036697802256","5.115148195352591","8.322557319921517","12.94466598457087","15.413914613506869","17.480549992905626","21.764959714461835","23.28514307870268","25.98027246425689","29.271950780528066","26.888716866011197","30.2798811470265","32.44183793316057","37.19934553574004","41.730602877036155","41.78998363695014","45.07635712252336","48.43119836035181"
"INTL.81-1-AFG-MTOE.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ALB-MTOE.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-1-DZA-MTOE.A","        Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ASM-MTOE.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-AGO-MTOE.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ATA-MTOE.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ATG-MTOE.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ARG-MTOE.A","        Argentina","0","0","0","0","0","0.0098582505673527","0.01697695441857","0.182500874022942","0.704538316459674","1.154424080611125","1.757101426546662","2.342801818063629","2.376755474905008","1.926869710753557","2.491349035245192","1.748612949337377","2.563500713530473","2.767222654578747","2.342801818063629","2.071172815328358","1.116226311162984","1.66372893323181","1.84198569464799"
"INTL.81-1-ARM-MTOE.A","        Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-ABW-MTOE.A","        Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-AUS-MTOE.A","        Australia","0","0","0","0","0","0","0.017825676141618","0.045837524934378","0.042442134050664","0.07215142628952","0.07215142628952","0.076395790892043","0.096767884198566","0.096767884198566","0.127326150156231","0.110349447733422","0.012732589816047","0.01103489437419","0.01103489437419","0.023767484190237","0.022918762467189","0.021221067025332","0.012732589816047"
"INTL.81-1-AUT-MTOE.A","        Austria","0.018781992998731692","0.02070232619144067","0.022181063776543573","0.02267397630491121","0.023724622735240033","0.026124364003484654","0.12717143231884984","0.25039956441075856","0.24169459411525782","0.2870561875728858","0.29821646658392165","0.2665772000480485","0.1664432001405","0.162447555354084","0.235971854549532","0.303219695325753","0.266302568335014","0.219799522595835","0.23323971650877","0.263472151947462","0.23274832477482","0.229949911848915","0.2816052629175"
"INTL.81-1-AZE-MTOE.A","        Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-BHR-MTOE.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-BGD-MTOE.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-BRB-MTOE.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.81-1-BLR-MTOE.A","        Belarus","0","0","0","0","0","0","0","0","0.007908207578413344","0.02266589253944598","0.037447550605145964","0.030550028430686302","0.0285511197213","0.0226544189139","0.0237380006862","0.0186980854662","0.0174885058134","0.0171861109002","0.0120453973758","0.0137589685506","","",""
"INTL.81-1-BEL-MTOE.A","        Belgium","0","0","0","0","0","0","0","0","0","0.32589399796429275","0.36969982443786414","0.3717431440329593","0.3024453123522","0.270160875431685","0.40190551926129","0.223190629551612","0.211881059797932","0.260680038915582","0.227099083804722","0.229000139825706","0.202461962243274","0.181857024853587","0.147870356567517"
"INTL.81-1-BLZ-MTOE.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
