Report generated on: 02-06-2025 11:50:48
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","    World","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","66337.0461890411","68404.80921369862","69738.19869863013","71406.80327595628","73756.4791369863","74754.92657260274","73443.88635068493","75621.9029039071","75764.24187706849","75599.86189315068","79071.85107671232","83435.74040437158","84702.43381643835","85225.20444109589","85434.13523835616","86897.90228361203","85866.65193463014","87383.85769658173","88534.04753508356","90802.57713702241","91370.21512628584","93947.33451624932","96649.51677230548","97093.81223053481","97789.54440669439","100490.52798445344","100231.3296303964","93908.97378923564","95692.21559850726","100218.98599761947","102257.36712358065"
"INTL.53-1-AFG-TBPD.A","        Afghanistan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ALB-TBPD.A","        Albania","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6","7.006","6.985","9.072","10.082","10.03453","10.05364","13.02293","16.04745","18.008905","21.006202","24.06236","23.0535","19.05189","17.05404","16.05469","18.05546","17.313858961748632","16.15063810365884","15.059928131885036","14.044726754799408"
"INTL.53-1-DZA-TBPD.A","        Algeria","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1310.164383561644","1286.2876712328766","1301.3698630136987","1396.7349726775956","1430.1917808219177","1431.041095890411","1376.958904109589","1435.5874316939892","1507.4794520547946","1623.835616438356","1789.890410958904","1856.9347923497269","1930.0273835616438","1917.46801369863","1942.2635205479453","1954.481","1909.8231123287671","1880.8924","1862.5645","1875.039769398907","1762.7893219178081","1721.8256","1798.1049","1698.432255737705","1632.8695246575342","1576.7869342465754","1570.104304109589","1404.306743715847","1415.129339462147","1473.0306811788857","1444.291045526906"
"INTL.53-1-ASM-TBPD.A","        American Samoa","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-AGO-TBPD.A","        Angola","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","732.8986301369863","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","990.2883306010929","1247.4923616438357","1400.5367863013698","1687.4487698630137","1960.2265081967214","1886.3642191780823","1918.0725479452055","1765.1344383561643","1796.580180327869","1814.1685342465753","1755.9454383561645","1828.00001369863","1796.7777540983607","1708.354530624685","1637.116441361411","1488.9323740600685","1284.139029827541","1150.4174036094382","1185.2543993969423","1174.4222027056035"
"INTL.53-1-ATA-TBPD.A","        Antarctica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ARG-TBPD.A","        Argentina","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","640.0082191780822","720.551","775.5500356164383","838.7026994535519","892.9643835616438","905.3899808219178","894.8070602739726","862.8231038251366","918.6981753424658","895.3786328767123","889.250202739726","891.0570819672131","830.3296109589041","831.1796301369862","802.6279150684932","804.5547267759563","786.1240890410959","786.8620643835617","742.298394520548","720.722118032787","704.9671287671233","713.0421054794521","705.2630424657534","705.0372633879781","686.3095116096109","704.8591448772384","723.0593229720822","656.8417081698169","708.5545345703596","787.2274929199148","819.018804024378"
"INTL.53-1-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","","","","","","","","","","","","2.356","2.351","2.235","2.477","2.3643","2.4322","2.3885","2.3087","0.5505","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-AUS-TBPD.A","        Australia","","","","","","","","460","474","444","489","571","665","606","639","633","583","666","635","619","562.0301369863014","605.2970821917809","579.9139780821918","605.4851693989071","650.1591808219179","626.0693013698631","616.762","802.4461475409836","738.7729150684931","717.1461095890411","615.1622191780822","573.158587431694","580.6001534246575","560.6968219178082","567.526290410959","569.5021289617487","575.8775452054795","584.9097054794521","508.239997260274","500.8046136612022","425.4054808219178","441.41955616438355","396.46394520547943","367.108418579235","336.95184337052603","364.6694620000493","475.30953961702465","475.1731504393251","460.1342704607751","436.0413569947832","405.2773434800356"
"INTL.53-1-AUT-TBPD.A","        Austria","","","","","","","","30","28","29","28","27","25","25","24","27","27","27","30","27","22.65205479452055","22.156186301369864","21.246575342465754","20.50831693989071","19.405479452054795","19.747945205479454","19.167123287671235","19.681420765027323","20.83013698630137","21.720547945205478","20.578046575342466","25.445967213114756","25.38078904109589","26.195613698630137","28.04188219178082","27.714301639344264","27.5462","35.62571780821918","36.10133424657534","36.155335519125686","26.98200410958904","30.84496301369863","31.574990410958904","29.36100218579235","27.186649315068493","26.92278904109589","26.442115068493152","24.4670043715847","24.902112195569963","23.946440004527354","23.10385494558548"
"INTL.53-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","218","183.72714794520547","186.22613424657536","182.5106393442623","182.47226575342467","232.3734520547945","277.09869315068494","282.2218169398907","301.1632054794521","308.85705753424656","311.57371506849313","313.6141174863388","449.97336164383563","651.3523698630137","865.398997260274","874.6622415300546","1011.9790753424658","1040.858797260274","989.0781205479452","927.6480338797815","876.5573205479452","852.714204109589","854.1325726027397","839.0564513661202","794.8208502140905","795.0061213636164","773.2083641042328","700.3683322687978","716.7350728227265","672.776081560999","623.1671597343899"
"INTL.53-1-BHR-TBPD.A","        Bahrain","69.67671232876712","66.40821917808219","61.4027397260274","60.25136612021858","55.986301369863014","51.323287671232876","49.084931506849315","48.24590163934426","46.082191780821915","43.9041095890411","42","41.0792349726776","42.43561643835616","43.92328767123288","42.42739726027397","43.58743169398907","42.40821917808219","42.0022","38.00305205479452","36.743169398907106","54","193.471","195.471","195.413","199.413","200.633","193.968","197.59","193.358","195.865","199.556","202.007","200.818","197.425","197.384","196.1829","195.5421","193.70770547945204","202.14144931506848","185.4938994535519","210.5174602739726","216.19964657534246","216.20197808219177","215.4984737704918","213.02309315068493","211.09113698630136","211.2317301369863","184.56151967213114","188.67548681131385","201.71099556058707","193.00155064681945"
