Report generated on: 02-06-2025 11:52:56
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","coal production (MMTOE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-WORL-MTOE.A","    World","2019.492424827663","2028.5619531631755","2102.0681197823606","2109.343543482648","2210.3003661845282","2310.7664235379584","2369.444770267327","2425.3850269184545","2480.183091908598","2511.348239849559","2496.812966099906","2383.697656744329","2334.879350080899","2265.121327195256","2308.5066175803545","2346.3330792785405","2395.699763929349","2398.9916539226115","2390.9401605591115","2355.2481426353033","2428.7699460119325","2536.059205403896","2557.949458945533","2751.587926218267","2973.153326478714","3173.283773755219","3348.8468020370597","3498.3019094455817","3610.925321937944","3652.6235861344144","3945.2237396910164","4154.122747469422","4275.837083973516","4347.286174755138","4347.014585149326","4250.419734129207","3995.831770323491","4056.237587124587","4247.063242339421","4379.042999842325","4176.599833984296","4325.498990772835","4403.072605490931"
"INTL.7-1-AFG-MTOE.A","        Afghanistan","0.05935220394285885","0.06234475291533156","0.07231991464868842","0.07231991464868842","0.07381618687259654","0.07531246362116113","0.07980128481754195","0.08329259119798403","0.06882860826824634","0.0633422677312703","0.0523695911819747","0.04688325516965513","0.00399006378841145","0.003491306380442078","0.0029925489724727064","0.0024937915645033347","0.0014962722239081152","0.0009975148159387436","0.0009975148159387436","0.0004987574079693718","0.0004987574079693718","0.012967710705829569","0.010473919141326234","0.01745653190221039","0.016957774494241018","0.01645901256161517","0.01745653190221039","0.12119819945022103","0.17306903322422637","0.24937901166132623","0.37297841254268604","0.6131866112865099","0.869408254865752","0.9305990920703113","1.1968521893741286","1.0469598177812318","1.1569276023803525","1.0405166321294141","1.431831793553261","1.518674617360424","0.8903184595274019","1.3599805336123716","2.3540629578024674"
"INTL.7-1-ALB-MTOE.A","        Albania","0.33336616577839695","0.3620478797382421","0.3996632444762493","0.43492764971791414","0.47254301232316615","0.5054564559357336","0.5094530898520971","0.5016949198884839","0.5134497216357056","0.5155655853956891","0.4868832699988829","0.25554906542191486","0.08604503950728688","0.05031048758076337","0.03973117944462154","0.018807658908696585","0.026565818208533928","0.009168733717989586","0.011519691081576659","0.011519691081576659","0.00705287209076122","0.004937010463532854","0.00352643604538061","0.013635552708805026","0.013635552708805026","0.01057930813614183","0.01057930813614183","0.01057930813614183","0.014340839917881147","0.002350957363587073","0.002350957363587073","0.0011754786817935365","0.0016456701545109512","0.0021158616272283657","0.0039143436904592","0.0057128257536900335","0.0032913403090219025","0.010814403872500537","0.023039382163153318","0.028615519637291958","0.02985715851755583","0.05659906343262243","0.15960477736996864"
"INTL.7-1-DZA-MTOE.A","        Algeria","0.0019131533559212086","0.006058318960417161","0.010203484564913113","0.014348650169409064","0.014508079615735832","0.0146675090620626","0.007014895638377765","0.006058318960417161","0.0063771836383560085","0.005739462960406282","0.00685547197733631","0.007971480994266339","0.00956577835017667","0.012754373061997329","0.0146675090620626","0.014029808632611468","0.00765262499425546","0.007014895638377765","0.0035074536044741953","0.0005739512135331383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ASM-MTOE.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AGO-MTOE.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATA-MTOE.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATG-MTOE.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ARG-MTOE.A","        Argentina","0.22011186467834856","0.28106591951235443","0.2906605392547451","0.2742932467530223","0.28727420287507904","0.22575575864446146","0.20543774036646087","0.21051724493596205","0.28896737106491","0.29009614985813337","0.15577147346467662","0.16480170381045559","0.11400665811545288","0.09481741863067364","0.19584312062407022","0.17213876596639943","0.17496071294945792","0.1416617385493994","0.1636729250172363","0.18963483726134564","0.14617685372228886","0.10497642776967632","0.05474573739241289","0.050795045695003926","0.05248821388483739","0.05418138207467085","0.04740870931533699","0.05926088664417124","0.05135943509161503","0.04289359414244771","0.0454333464271979","0.0479730987119481","0.05361699267805975","0.04458676233228117","0.032170195606835816","0.01918923948477921","0.012980956122056733","0.011118471113239584","0.013383121519590995","0.012416566725445189","0.011187916521288874","0.015577023805008465","0.01524368418476118"
"INTL.7-1-ARM-MTOE.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000017053576730683434"
"INTL.7-1-ABW-MTOE.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AUS-MTOE.A","        Australia","59.835205482470656","68.02273338432015","68.88222949765418","76.64096684199869","81.75591129111923","88.12770038568374","94.89552712644499","107.0264916110666","98.72199470072218","105.28041743854098","110.60021213547255","119.04768215771395","123.86414051997268","124.1218555398032","122.66961926956856","132.26045660822072","134.5007778302822","143.78644946469592","154.8302112578219","156.95983692056137","167.0101520187585","180.69210769394334","186.71678564192104","186.32173980241902","191.83811262513854","204.29867644495346","206.652663681893","217.90490047723634","219.06487554476047","226.81277975589626","250.85350438740622","238.670561372757","250.25523255953362","271.4955005116238","291.8294637926261","304.7797493520703","297.85462542648634","297.5887227446314","292.07185067945125","306.4368285622528","299.57442603934766","278.76923943277876","276.53845342199605"
"INTL.7-1-AUT-MTOE.A","        Austria","0.9922243856224321","1.0601043086877013","1.141837277276495","1.0531777859259392","1.014042932321983","1.0670308314494636","1.0282423039835955","0.9648646207134715","0.7373283479895839","0.715509801290033","0.8478063860396907","0.7207046933613547","0.613343590554041","0.5856374995069922","0.4741204830426211","0.4491850011002773","0.3837293610016247","0.3913485360395631","0.3948117974204442","0.39377281900617983","0.4325613464720481","0.41766932253425937","0.4890125069804098","0.3989677110775015","0.08138664245070559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AZE-MTOE.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BHR-MTOE.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGD-MTOE.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011743917370295351","0.03398959688683502","0.09364829728127286","0.15941255099003188","0.20413224351198803","0.3561791980866389","0.43562241656681977","0.3709103909174009","0.3509180577899382","0.4393052147745103","0.4498274953679117","0.49822998609755836","0.3556530840569688","0.5376885383228138","0.6108183884469538","0.48560324938547667","0.4926181031144269","0.5345318541447933","0.5531796736408983","0.371439285339292"
"INTL.7-1-BRB-MTOE.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLR-MTOE.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEL-MTOE.A","        Belgium","4.254642879429791","4.154222630120987","4.393923309888204","4.091664187301651","4.2317877427721","4.1688375931483055","3.750812390651459","2.8980141313110503","1.609021683732855","1.2071997675862827","0.6606756255781241","0.40431307588468207","0.13902247719694116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLZ-MTOE.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEN-MTOE.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BMU-MTOE.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BTN-MTOE.A","        Bhutan","0.000020901954572767055","0.000037621242981934314","0.00005434053139110158","0.00007105981980026885","0.00016720046825516056","0.00016803548465518293","0.0003344047285920651","0.0007649501056390219","0.0007676255709926631","0.0009231240541941042","0.0010786225373955452","0.0012341210205969863","0.0013284902966593075","0.019228228285103687","0.026752317614057303","0.026473647638911","0.026752317614057303","0.02257226798686085","0.025769587946703417","0.028966907906545984","0.032164227866388555","0.030727279857743865","0.030648432354266886","0.027723761147417758","0.031346313770199814","0.035647045215768634","0.038228877505597704","0.03592747071809622","0.0349886873994852","0.032832199796814544","0.03670668779626294","0.041342362832823804","0.041270047974273305","0.03249737782167611","0.03423084440207448","0.035598974645055875","0.04923262450911983","0.06771680396058255","0.07816692802857368","0.07733091810313439","0.06575469744045369","0.07774892306585404","0.08696415551500186"
"INTL.7-1-BOL-MTOE.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BIH-MTOE.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.5480607004181922","0.4749859403624266","0.5115233203903062","0.5992130324572043","0.6174817224711745","1.992383332920243","2.570404684961291","2.474311375487961","2.7180157002739236","2.7593029397054147","2.9136471268248787","2.6204655311277154","2.060496316768211","2.1066715268998477","2.154102526783036","2.240992435601142","2.4701786324330146","2.449553281407279","2.335961124517202","2.594979361394236","2.546850862926309","2.278802412575387","2.2823776654395416","2.24081080710974","2.371107792872108","2.6278912876182745","2.622689310014282","2.4414565570099596","2.3351795601308156","2.479664901529088","5.13261721254388"
"INTL.7-1-BWA-MTOE.A","        Botswana","0.20820033986334294","0.2138119474510791","0.23289227871967932","0.22166855444403213","0.22054618201646742","0.24523837542289126","0.27498124475335634","0.2732976861120092","0.34176240419345716","0.3720664597377046","0.4455818537431937","0.4399699916053701","0.5056287786179062","0.49945573026630025","0.5056287786179062","0.5106794545419474","0.408543563633558","0.4354805018951112","0.5185360615349005","0.40349288770951675","0.5275150409554182","0.5134853856108592","0.5348104617345889","0.46185625394288216","0.5112406407557298","0.5527684205756245","0.5398611376586302","0.46466218501179396","0.5106794545419474","0.41415542577138154","0.5544519792169715","0.4422147364604995","0.8255049204738513","0.83953457581839","0.9629341968642833","1.1726424144804042","1.0563773223308823","1.2501036810766173","1.2194874848354365","1.188870724990315","1.0568480697520373","1.117350931689837","1.482695990291957"
"INTL.7-1-BRA-MTOE.A","        Brazil","2.1047006231277083","2.2841743313570264","2.547964546808172","2.7049538531116695","3.0189324657186645","3.0964233509272963","2.967539547031074","2.7639754081669485","2.9434491163962666","2.6784543794133806","1.8449254794490308","2.0830192355563812","1.899530455554595","1.8449254794490308","2.061337847985054","2.087435814506096","1.9292419866708581","2.267311029912661","2.2147135896933308","2.2725306232168694","2.7326578483416983","2.2701215801533885","2.065352919757522","1.8654023454886175","2.170547800196183","2.5114273936787135","2.361665216565658","2.3949903122771423","2.6547654559558196","2.292204474901962","2.174161364791404","2.210297010743616","2.656371484664807","3.4505526812589706","3.221118816180999","3.227822381500455","2.7744647546654577","2.036453735010256","2.0529242735722706","2.2952469698756843","2.2751367315060196","2.836687112626669","2.4137414515267297"
"INTL.7-1-VGB-MTOE.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BRN-MTOE.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGR-MTOE.A","        Bulgaria","5.314783499079447","5.143798507151958","5.666956291094707","5.697740626061076","5.920443300732065","5.432115792922693","6.196095031545208","6.476848166438492","6.0068153491234195","6.0333778324372584","5.571964628912769","4.994098683972644","5.334309562972401","5.107033215677838","5.058657832159258","5.423320268646588","5.5063500178130225","5.225948703890783","5.2968406295561925","4.450183462738287","4.6496659533203575","4.681153930228814","4.576839012314204","4.802180344268025","4.658989209053029","4.344109439968456","4.517029447236688","5.005181044560537","5.064286967695965","4.782302459404026","5.172647826777584","6.531204506464824","5.880159799547502","5.034734006128251","5.374763329165361","6.138682470799515","5.348773298284141","5.967886828937353","5.322223062106415","4.924355541015181","3.9215399311607335","4.975114630472909","5.898970795163083"
"INTL.7-1-BFA-MTOE.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-MMR-MTOE.A","        Burma","0.02317960729593984","0.034159424773217005","0.04086930862010819","0.04330926990408091","0.05306910397250495","0.052459115034944825","0.05977898781939502","0.04513923671676064","0.03964933074498854","0.03964933074498854","0.0420892864952284","0.04574922565432021","0.04452924777920056","0.04642155612403474","0.041975220576815124","0.0453693280646946","0.041975220576815124","0.038628601913784186","0.04087550889622221","0.08078095989609345","0.30949871865668055","0.3647500455651383","0.29676597518075437","0.23989656563698103","0.18013731060831792","0.16130476147414563","0.2753086887182725","0.23785286949778783","0.1914850919297636","0.18269230497956965","0.3635405710332698","0.36430422622067987","0.4078751719484054","0.3703852828863429","0.3545053683496934","0.28716164111159637","0.23648838217011994","0.3254941416694902","0.5765851672853061","0.9324133642061093","0.9027594945456082","0.6978817535959607","0.5647552276083416"
"INTL.7-1-BDI-MTOE.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CPV-MTOE.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-KHM-MTOE.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03507292569540774"
"INTL.7-1-CMR-MTOE.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CAN-MTOE.A","        Canada","19.655045344856124","21.397580319183096","22.791362079836613","23.59150282770941","30.872442188948195","32.77506896847047","30.429007158973683","32.60024954141321","37.668073791584","37.77736486801718","36.70110511712789","38.41600002314621","34.54389262141976","36.473900737887526","38.33249921847631","39.67472728718353","40.32910993518818","41.71694107319435","39.53754339266358","38.013807744757536","35.93481862526487","36.46714975706367","33.87489280303635","31.39167327184603","33.56024164059474","36.03933221374465","36.12704431646879","38.75725248132413","35.17748645494538","32.14120079656864","35.43381999067936","35.45647774147271","35.15850582351628","37.2985388815013","35.69258198810337","32.4063993908827","30.749574091273786","32.534813028357824","30.684707041382026","29.242384265309806","25.28686626504608","26.34099440311214","22.30308447582052"
"INTL.7-1-CYM-MTOE.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CAF-MTOE.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-TCD-MTOE.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CHL-MTOE.A","        Chile","0.513015271412953","0.49980457772849923","0.45136536755216894","0.45356714983291124","0.5389963023257119","0.5839126608528546","0.7345145688556272","0.7032492604690866","0.8635390105071251","0.874988278366985","0.9612981437720827","0.9723070551757942","0.7160195976973919","0.5966829980811599","0.5205013311674768","0.4570900014820989","0.44211788197305135","0.4597321402189896","0.4143754252356985","0.21357288123200188","0.16117046295033544","0.2536453187415115","0.1906743455122821","0.2536453187415115","0.1026030542825906","0.23955391214476088","0.29680025144406036","0.10700661884407517","0.29371775625102114","0.28006670611041895","0.2725806463558952","0.2879931223210912","0.3135337967777017","1.3333993492175293","1.4269210804758445","1.4486742387704772","1.1610039615927656","1.11181135484848","1.0362182877883004","0.6607432506595246","0.24078029961750977","0.021585969184873804","0.007655670647524509"
"INTL.7-1-CHN-MTOE.A","        China","348.0390318066247","348.87525936103407","373.9564738162153","401.01320571940255","442.9368288962593","489.5466937522941","501.75898344661385","520.8687474230816","549.929058107823","591.6169661348072","605.731813829255","608.526722040706","625.5150496632289","646.1850234448711","690.0392659503127","725.2113337458687","766.0512284550948","743.7710957059671","731.1794168643528","720.8085114703576","776.8401313523291","825.8587200972364","870.1247360454408","1029.7925942142958","1191.2640639176875","1327.3810892315553","1442.1995932971206","1548.9223582623201","1629.4662941776098","1748.4173287137878","1934.3994179951694","2123.9705974073245","2225.921191950767","2242.392981722481","2219.872506780125","2164.578085651231","1979.8160738371193","1993.4496884712682","2125.6207740721447","2247.9531861830155","2263.3017077622812","2349.9023305971778","2334.177218449473"
"INTL.7-1-COL-MTOE.A","        Colombia","3.443447364466574","3.529245838879213","3.7607808680693187","4.026999353413666","4.983801775489267","6.288683413998942","7.39626634910905","9.1241135800568","10.11903160338813","12.109860364685817","13.485131722921954","13.170179181927942","14.709082549958875","14.250549133906105","15.160804990541873","17.171374065479153","19.456016912890604","21.205402872199702","21.540530833239785","21.07839502163688","24.466996904366226","27.597577394504434","27.84325975938941","31.595245788350216","34.022175194468566","36.78248781735053","40.585245051305876","40.660633590114955","45.41357951629987","45.7848817782725","48.392107182986756","55.3682504433553","57.71760728101608","55.66353840831885","58.041190395812066","57.16435209047339","60.99966483173722","61.13878701386107","57.30761732229286","57.95667680550639","35.6902071023791","40.33872834938142","39.64982288604885"
"INTL.7-1-COM-MTOE.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COG-MTOE.A","        Congo-Brazzaville","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COD-MTOE.A","        Congo-Kinshasa","0.08951502501443481","0.09080961517372851","0.07978206081683586","0.07329734101891928","0.07848747065754218","0.07050808767571377","0.07719288049824849","0.07913476573718903","0.0797844911156349","0.08108179991426312","0.08173045431357723","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COK-MTOE.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
